"5-digit FIPS Code","Uninsured raw value","Primary care physicians raw value","Social associations raw value","Preventable hospital stays raw value","Uninsured adults raw value","Uninsured children raw value","Health care costs raw value","Food environment index raw value","Poor or fair health raw value","Poor physical health days raw value","Poor mental health days raw value","Excessive drinking raw value","Frequent physical distress raw value","Frequent mental distress raw value","Insufficient sleep raw value","Adult smoking raw value","Access to exercise opportunities raw value","Mental health providers raw value","Other primary care providers raw value","Adult obesity raw value","Physical inactivity raw value","MentalDisordersDeath","Suicide"
"51770",0.1325636894,0.0009432069,16.756973711,4373,0.1621016506,0.0494218492,9655.18,7,0.2026263212,3.9466845327,3.9930541802,0.1517536452,0.1239716041,0.1273830895,0.3840323253,0.1888437213,0.977698079,0.0021321962,0.0015616085,0.349,0.293,90.1821679793182,19.3724657140758
"51775",0.0829533679,0.0011350738,20.353047086,4355,0.097599889,0.0412451362,9822.53,8,0.1370968568,3.2994179894,3.6110049138,0.1804595679,0.0985995431,0.1094298814,0.3340488521,0.1504733021,0.908354165,0.0068810947,0.0043252595,0.27,0.214,128.834116315084,23.4243847845607
"51790",0.0953489631,0.0005746419,23.806591963,4047,0.1118490779,0.043074884,8883,8.3,0.166312863,3.7573232949,3.8435719358,0.161536269,0.1125020688,0.1212419033,0.348069401,0.1701890334,1,0.0052834207,0.0006962647,0.311,0.272,106.401844298635,24.5542717612233
"51800",0.0882585231,0.0009745388,12.433770569,5193,0.1050868669,0.0472562318,9686.7,7.7,0.1594478536,3.2670673683,3.4341330781,0.1681543581,0.0999976535,0.1068385112,0.3991065123,0.1564470506,0.7723709878,0.0005217727,0.0007599732,0.324,0.272,42.216003975029,10.0870097993432
"51810",0.0860143392,0.000746793,6.9155682034,4165,0.1038073991,0.0386783857,10088.26,8.7,0.1270792467,3.2242907181,3.3999708694,0.2201191933,0.0965958932,0.1021684288,0.3622103831,0.1499516484,0.963985808,0.001371633,0.0007421396,0.269,0.216,48.680392570487,12.3176144837444
"51820",0.1218449349,0.0010051629,20.103257642,4069,0.1476578411,0.0559127216,9454.78,8.2,0.1713170812,3.7871238575,3.7848862201,0.1655257911,0.1137047844,0.1197167085,0.348084425,0.1680850285,0.8019137389,0.0012563399,0.0002326555,0.393,0.333,63.922075945514,21.3073586485047
"51830",0.1209330144,6.57289e-05,15.117654792,3613,0.1348581613,0.066163668,9325.54,7.5,0.1794489175,3.8070889141,3.7596074456,0.186145561,0.1160874809,0.1206802708,0.3422238676,0.161079044,0.9968723344,0.0005314908,6.64364e-05,0.341,0.248,28.6994723712387,48.5683378590194
"51840",0.1449684267,0.0026893444,18.898095653,5610,0.1749771132,0.0640038499,9018.04,8.5,0.1795550488,3.7554041291,3.776619772,0.172484224,0.1164405907,0.1206863519,0.354002971,0.1756213164,0.991146052,0.0044348336,0.0049113033,0.339,0.242,50.7663298360973,12.087221389547
"53001",0.1259170892,0.0005198046,14.034722944,1443,0.1809074838,0.0417569715,7516.69,8.9,0.2388210449,4.9128160406,4.0250809293,0.1524369364,0.1502744359,0.1278379848,0.2951589486,0.1559568941,0.624893208,0.001402306,0.0006751844,0.369,0.238,8.62098693058381,17.2419738611676
"53003",0.0657543778,0.0008966197,11.207746795,2676,0.0798491041,0.0270951481,8250.03,7.7,0.136330382,3.82098759,4.0846298597,0.1775849166,0.1143562584,0.1214499186,0.2782123893,0.1614687018,0.9795125561,0.0026238408,0.0004523863,0.32,0.221,40.3310130552983,29.8748244854062
"53005",0.07341452,0.0006815154,8.9319826936,4162,0.093228388,0.0300450113,9244.8,8.3,0.131352769,3.6971497306,3.6338239073,0.2011884252,0.1093706824,0.1108963177,0.3120401214,0.1341682884,0.7964287549,0.0017550405,0.0007829372,0.309,0.166,11.336972616058,19.0667266724611
"53007",0.0972303778,0.0011658676,14.540595771,2004,0.1210208625,0.0394574599,8242.71,8.5,0.1413430911,3.6913108639,3.7558286728,0.1878662096,0.1087807298,0.1135055224,0.2837466803,0.140137759,0.8951044125,0.0022473693,0.0012162234,0.266,0.181,22.3180097586592,15.7538892414065
"53009",0.0885614549,0.0009118949,10.325868312,2056,0.1043668902,0.0406479676,8108.2,7.3,0.1363359777,3.8888307138,4.0606149039,0.1650768971,0.1136466544,0.121315166,0.2903335395,0.1354605582,0.7672259257,0.0024494462,0.0008436981,0.292,0.204,47.4209278396636,26.8420346262247
"53011",0.0653718102,0.0006616447,7.0232838991,3813,0.0810850056,0.0274245532,8538.22,8.1,0.1228602649,3.6091410283,3.7953468845,0.1803405535,0.1053574581,0.1115459532,0.3050789053,0.1425176367,0.9592489239,0.0025985049,0.0005223125,0.305,0.173,37.2549523393541,16.9859744382496
"53013",0.0692252511,0.000761808,20.31488065,2301,0.0806834362,0.0359116022,9687.89,7.3,0.1558253534,4.1663780716,4.1993012452,0.1524809784,0.1246101291,0.1253701657,0.2779655731,0.1499271847,0.7273173124,0.0017748479,0.0007606491,0.353,0.266,67.0634587978875,67.0634587978875
"53015",0.0715746908,0.0006371244,9.6044123241,3970,0.0887688595,0.027530464,8652.95,7.3,0.1514526533,4.0440724963,4.0897100905,0.1873140656,0.1161095475,0.1209225422,0.3130587364,0.1700447249,0.8042085734,0.0022132447,0.0006668728,0.347,0.227,60.8484556535188,22.8181708700695
"53017",0.0982195496,0.0002177753,8.4690396109,2242,0.125596049,0.0376519688,8529.26,7.5,0.1510550083,3.909387362,3.8293643155,0.162794873,0.1191622755,0.1181146463,0.3060951285,0.1346024674,0.8401290625,0.0002960478,0.0003453891,0.324,0.186,12.1157294476843,12.1157294476843
"53019",0.1112693609,0.0006566851,7.8802206462,1988,0.1288386054,0.0549607423,7778.15,5,0.1782040181,4.640253409,4.6155946962,0.1604952351,0.1409327141,0.1426513125,0.3034606181,0.1835118718,0.5980664813,0.0023740438,0.0013189132,0.301,0.202,26.3273365511189,48.2667836770513
"53021",0.1182661434,0.0002440106,6.6548358474,3555,0.1663241871,0.0364769863,8853.42,8.7,0.1924434192,4.3177865506,3.9157637399,0.1827871,0.1305917678,0.1200846899,0.3114205625,0.150569929,0.7337998797,0.0010809959,0.0003941131,0.331,0.206,7.00869077656294,9.95971847195786
"53023",0.0480192077,0.0008900757,13.351134846,2739,0.053877551,0.036637931,9332.04,5,0.1352361829,3.7667539247,3.8593245326,0.1632848803,0.1117255999,0.1168985765,0.2731610981,0.1384860949,0.7793468667,0.0004506534,0.0018026138,0.331,0.272,14.9790293588975,14.9790293588975
"53025",0.1153326685,0.0004596669,9.6209351549,2812,0.1549581246,0.039800995,8546.1,8.1,0.2010391615,4.2122426633,3.860027365,0.1768062758,0.1261991129,0.120657307,0.3416329482,0.1594432996,0.7436938959,0.0016405923,0.0007184293,0.343,0.244,15.6048843287949,10.2850373985239
